\rot{numHidden}, \rot{numGenes}, \rot{minGene}, \rot{maxGene}, \rot{popSize}, \rot{maxEvaluations}, \rot{selectionPressure}, \rot{kAmount}, \rot{mutateRate}, \rot{mutateChange}, \rot{train}, \rot{avgTrain}, \rot{varTrain}, \rot{stdTrain}, \rot{test}, \rot{avgTest}, \rot{varTest}, \rot{stdTest}
5, 48, -3.0, 3.0, 200, 20000, 0.1, 4, 0.01, 0.05, 0.1578, 0.0, 0.0, 0.0, 0.2178, 0.0, 0.0, 0.0,
5, 48, -3.0, 3.0, 200, 20000, 0.1, 4, 0.01, 0.05, 0.113, 0.0, 0.0, 0.0, 0.2367, 0.0, 0.0, 0.0,
5, 48, -3.0, 3.0, 200, 20000, 0.1, 4, 0.01, 0.05, 0.1308, 0.0, 0.0, 0.0, 0.2568, 0.0, 0.0, 0.0,
5, 48, -3.0, 3.0, 200, 20000, 0.1, 4, 0.01, 0.05, 0.1749, 0.0, 0.0, 0.0, 0.3024, 0.0, 0.0, 0.0,
5, 48, -3.0, 3.0, 200, 20000, 0.1, 4, 0.01, 0.05, 0.1029, 0.0, 0.0, 0.0, 0.1838, 0.0, 0.0, 0.0,
5, 48, -3.0, 3.0, 200, 20000, 0.1, 4, 0.01, 0.05, 0.1304, 0.0, 0.0, 0.0, 0.2775, 0.0, 0.0, 0.0,
5, 48, -3.0, 3.0, 200, 20000, 0.1, 4, 0.01, 0.05, 0.1598, 0.0, 0.0, 0.0, 0.309, 0.0, 0.0, 0.0,
5, 48, -3.0, 3.0, 200, 20000, 0.1, 4, 0.01, 0.05, 0.1751, 0.0, 0.0, 0.0, 0.3003, 0.0, 0.0, 0.0,
5, 48, -3.0, 3.0, 200, 20000, 0.1, 4, 0.01, 0.05, 0.1124, 0.0, 0.0, 0.0, 0.2826, 0.0, 0.0, 0.0,
5, 48, -3.0, 3.0, 200, 20000, 0.1, 4, 0.01, 0.05, 0.1428, 0.14, 6.0E-4, 0.0262, 0.2712, 0.2638, 0.0016, 0.0405,
